"seed","scenario","sacc_deg","method","rank","opi","auc_proj","auc_ceiling","p_value"
8,"ocular_corr",2,"gaze",4,0.424878049814223,0.924105434604967,0.927584755110089,0.00497512437810945
8,"ocular_corr",2,"random",4,0.309720481645021,0.809487576553423,0.927584755110089,0.00497512437810945
8,"ocular_corr",2,"eog",2,0.420057458110484,0.919906531532626,0.927584755110089,0.00497512437810945
8,"ocular_corr",2,"frontal",17,0.423794433564271,0.923665571948456,0.927584755110089,0.00497512437810945
9,"ocular_corr",2,"gaze",4,0.413764975683485,0.914733935976973,0.918290454343531,0.00497512437810945
9,"ocular_corr",2,"random",4,0.41781877060211,0.918209348824786,0.918290454343531,0.00497512437810945
9,"ocular_corr",2,"eog",2,0.416320310666321,0.91754329214198,0.918290454343531,0.00497512437810945
9,"ocular_corr",2,"frontal",17,0.414945891977953,0.914924608467504,0.918290454343531,0.00497512437810945
10,"ocular_corr",2,"gaze",4,0.431800778110993,0.932138114150938,0.93540622632618,0.00497512437810945
10,"ocular_corr",2,"random",4,0.416473015215764,0.91541124586687,0.93540622632618,0.00497512437810945
10,"ocular_corr",2,"eog",2,0.441567533941007,0.940419684914521,0.93540622632618,0.00497512437810945
10,"ocular_corr",2,"frontal",17,0.432261295388091,0.932207277610889,0.93540622632618,0.00497512437810945
11,"ocular_corr",2,"gaze",4,0.43456572122443,0.936874380793156,0.940383562646071,0.00497512437810945
11,"ocular_corr",2,"random",4,0.442352107639005,0.9422717699335,0.940383562646071,0.00497512437810945
11,"ocular_corr",2,"eog",2,0.432699978311981,0.935106712039852,0.940383562646071,0.00497512437810945
11,"ocular_corr",2,"frontal",17,0.434153378961478,0.937130134870943,0.940383562646071,0.00497512437810945
12,"ocular_corr",2,"gaze",4,0.432667593327921,0.928967174060138,0.933164473536529,0.00497512437810945
12,"ocular_corr",2,"random",4,0.401672585247333,0.898604390842208,0.933164473536529,0.00497512437810945
12,"ocular_corr",2,"eog",2,0.428265589360284,0.926463084355198,0.933164473536529,0.00497512437810945
12,"ocular_corr",2,"frontal",17,0.431698217796603,0.928969697676977,0.933164473536529,0.00497512437810945
1,"ocular_corr",8,"gaze",4,0.411141534584122,0.909973777426026,0.911761979348525,0.00497512437810945
1,"ocular_corr",8,"random",4,0.407335262541121,0.907343786523876,0.911761979348525,0.00497512437810945
1,"ocular_corr",8,"eog",2,0.409602665044876,0.90885528995744,0.911761979348525,0.00497512437810945
1,"ocular_corr",8,"frontal",17,0.411004092874768,0.910043155449765,0.911761979348525,0.00497512437810945
2,"ocular_corr",8,"gaze",4,0.421993352158315,0.923734519586144,0.924970694799996,0.00497512437810945
2,"ocular_corr",8,"random",4,0.420696767811247,0.923040767149335,0.924970694799996,0.00497512437810945
2,"ocular_corr",8,"eog",2,0.425064887628818,0.925711112463403,0.924970694799996,0.00497512437810945
2,"ocular_corr",8,"frontal",17,0.422146720620678,0.923641392757195,0.924970694799996,0.00497512437810945
3,"ocular_corr",8,"gaze",4,0.434538561280886,0.93581838187712,0.93610069711581,0.00497512437810945
3,"ocular_corr",8,"random",4,0.435876976044921,0.937720907948754,0.93610069711581,0.00497512437810945
