"seed","scenario","method","rank","opi","auc_proj","auc_ceiling","p_value"
8,"blink_corr","eog",2,0.158975151518258,0.65856031076556,0.763612360733644,0.00497512437810945
8,"blink_corr","frontal",17,0.179438211871578,0.67838593970218,0.763612360733644,0.00497512437810945
9,"blink_corr","gaze",4,0.188028363504925,0.687514756490001,0.783955896251372,0.00497512437810945
9,"blink_corr","random",4,0.16778327540852,0.668404208053957,0.783955896251372,0.00497512437810945
9,"blink_corr","eog",2,0.174607502104692,0.674654693434876,0.783955896251372,0.00497512437810945
9,"blink_corr","frontal",17,0.185202522354895,0.684677791761289,0.783955896251372,0.00497512437810945
10,"blink_corr","gaze",4,0.200085194353128,0.703615779986842,0.775104246214821,0.00497512437810945
10,"blink_corr","random",4,0.196403987722192,0.698282828819622,0.775104246214821,0.00497512437810945
10,"blink_corr","eog",2,0.175707001669295,0.677740417690714,0.775104246214821,0.00497512437810945
10,"blink_corr","frontal",17,0.20119061653675,0.70459628239062,0.775104246214821,0.00497512437810945
11,"blink_corr","gaze",4,0.186162711433538,0.687663911941225,0.812660698116696,0.00497512437810945
11,"blink_corr","random",4,0.177115652448429,0.679808904380251,0.812660698116696,0.00497512437810945
11,"blink_corr","eog",2,0.141718445625179,0.643664201514413,0.812660698116696,0.00497512437810945
11,"blink_corr","frontal",17,0.178133935080099,0.679721872856554,0.812660698116696,0.00497512437810945
12,"blink_corr","gaze",4,0.204434259260726,0.705047495569569,0.778429577397127,0.00497512437810945
12,"blink_corr","random",4,0.221126758957372,0.721019635420016,0.778429577397127,0.00497512437810945
12,"blink_corr","eog",2,0.179467814326178,0.680910422871478,0.778429577397127,0.00497512437810945
12,"blink_corr","frontal",17,0.202286122818107,0.70264843046508,0.778429577397127,0.00497512437810945
1,"covert","gaze",4,-0.0155005333279259,0.484838578467438,0.743408267320992,0.796019900497512
1,"covert","random",4,0.0932751834138391,0.591152660028687,0.743408267320992,0.00497512437810945
1,"covert","eog",2,0.00491609207914823,0.498163092698544,0.743408267320992,0.527363184079602
1,"covert","frontal",17,-0.0509884213244487,0.447282443097018,0.743408267320992,0.995024875621891
2,"covert","gaze",4,-0.0080804415799608,0.489060053084138,0.820234448138019,0.701492537313433
2,"covert","random",4,0.0676946185965769,0.567292460652074,0.820234448138019,0.00497512437810945
2,"covert","eog",2,0.0158428778481969,0.511661749751406,0.820234448138019,0.293532338308458
2,"covert","frontal",17,-0.0246599909252494,0.473163330094994,0.820234448138019,0.850746268656716
3,"covert","gaze",4,-0.0119314228935375,0.488498299179121,0.743999224269541,0.721393034825871
3,"covert","random",4,0.0479965546824151,0.546584962568499,0.743999224269541,0.0199004975124378
3,"covert","eog",2,0.01097413098558,0.509970837071038,0.743999224269541,0.3681592039801
3,"covert","frontal",17,-0.0185675071595197,0.482115550941406,0.743999224269541,0.781094527363184
4,"covert","gaze",4,0.00548660468230766,0.507192395405117,0.730348580326326,0.432835820895522
4,"covert","random",4,0.084589734632749,0.584058201668291,0.730348580326326,0.00497512437810945
4,"covert","eog",2,0.0297577691321635,0.532277559974705,0.730348580326326,0.0597014925373134
4,"covert","frontal",17,-0.00432921588324242,0.497606750214767,0.730348580326326,0.582089552238806
5,"covert","gaze",4,0.02068881414147,0.520236019235494,0.817011839418309,0.169154228855721
5,"covert","random",4,0.10956316862924,0.60966886895447,0.817011839418309,0.00497512437810945
5,"covert","eog",2,-0.0193573637132015,0.480194653024052,0.817011839418309,0.805970149253731
5,"covert","frontal",17,0.0320282467013214,0.532105036509462,0.817011839418309,0.0497512437810945
6,"covert","gaze",4,-0.00380379983772866,0.494304693221409,0.813815833005008,0.587064676616915
