"seed","montage","sacc_deg","r2_gx","r2_gy","r2_sacc","blink_auc","mean_r2_all","mean_r2_cont"
4,"full",12,0.999461513667227,0.636952560282706,0.988486628332643,0.979028294663366,0.75679091019275,0.874966900760858
5,"full",12,0.999550090014909,0.649230766760752,0.988032443933524,0.981579894560776,0.750063009262253,0.878937766903062
6,"full",12,0.999433147309488,0.625281291838198,0.988540178435654,0.982979885707457,0.758493009799851,0.87108487252778
7,"full",12,0.999433693213777,0.628054618413243,0.988607878756671,0.97707044735328,0.748537012672213,0.87203206346123
8,"full",12,0.999275131193886,0.630228845586206,0.98829516143412,0.978592852174606,0.756034376944067,0.872599712738071
9,"full",12,0.999433119228999,0.634124998661442,0.987954496490941,0.967577279769196,0.757951492280378,0.873837538127127
10,"full",12,0.99961777943285,0.643958632963288,0.989228291757702,0.982111491803952,0.756506368430282,0.87760156805128
11,"full",12,0.99961877390595,0.631406943478158,0.988436031835167,0.982891613924051,0.760671261833196,0.873153916406425
12,"full",12,0.999484822835304,0.601475520285348,0.988250993032261,0.979781911733659,0.743987973381401,0.863070445384305
1,"erpcore",12,0.998412810019709,0.523371013564609,0.988029728358671,0.937532297636395,0.685185782123649,0.83660451731433
2,"erpcore",12,0.998574541609024,0.502162813947809,0.987765279503305,0.930901841868823,0.67553847999697,0.829500878353379
3,"erpcore",12,0.998530037194796,0.502566101790473,0.987509590005602,0.934501762082854,0.678736372105995,0.829535242996957
4,"erpcore",12,0.998493701882337,0.506225126898463,0.98771408189864,0.933203048487331,0.680103432911836,0.83081097022648
5,"erpcore",12,0.998577956968991,0.51583001845095,0.987219261502498,0.935937202261227,0.674973744772177,0.833875745640813
6,"erpcore",12,0.998479748992292,0.507151998311723,0.987690035772879,0.93880782378975,0.684032081610245,0.831107261025631
7,"erpcore",12,0.998487024310703,0.500487130267568,0.987805142258934,0.923726985040276,0.672920147315162,0.828926432279069
8,"erpcore",12,0.998356874126116,0.503223647293966,0.987537389747889,0.931955218656826,0.680521117942809,0.829705970389323
9,"erpcore",12,0.998480916810034,0.512877831374402,0.987175596740747,0.915582281668381,0.683117844051809,0.832844781641727
10,"erpcore",12,0.998623085056856,0.508239078863302,0.988365838716544,0.941078785169099,0.679351392484094,0.831742667545567
11,"erpcore",12,0.998640136612933,0.494174404400192,0.987646304880405,0.948261291714614,0.681754918932722,0.82682028196451
12,"erpcore",12,0.998523065858113,0.479814880012912,0.987486077577489,0.933557215029532,0.671161794601125,0.821941341149505
